what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,0.6.0.200912061441,"org.eclipse.jgit",1260930345080
os,sysinfo,,,"win32",1260930345080
arch,sysinfo,,,"x86",1260930345080
ws,sysinfo,,,"win32",1260930345080
locale,sysinfo,,,"en_IN",1260930345080
processors,sysinfo,,,"2",1260930345080
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1260930345080
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1260930345080
java.specification.name,sysinfo,,,"Java Platform API Specification",1260930345080
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260930345080
java.specification.version,sysinfo,,,"1.6",1260930345080
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1260930345080
java.version,sysinfo,,,"1.6.0_16",1260930345080
java.vm.info,sysinfo,,,"mixed mode",1260930345080
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1260930345080
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1260930345080
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260930345080
java.vm.specification.version,sysinfo,,,"1.0",1260930345080
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1260930345080
java.vm.version,sysinfo,,,"14.2-b01",1260930345080
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.monitor.ui",1260930345174
started,bundle,org.eclipse.mylyn.context.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.core",1260930345283
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1260930345299
started,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1260930345517
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.core",1260930345689
